add2list,selqty,name,oldprice,price,add2cart,newprodid,outofstack,tah,imgurl,desc
/addproducttocart/21435/3/0/(name),0,Prevail Protective Adult Pants M 10S,,$12.90,/addproducttocart/21435/1/0,21435,,0,https://a4ucontent.blob.core.windows.net/images/0010224_0.png,"Prevail <br/>
Protective Adult Pants <br/>
<span style= ""color: gray""> (M) 10S </span>"
/addproducttocart/21436/3/0/(name),0,Prevail Protective Adult Pants L 10S,,$12.90,/addproducttocart/21436/1/0,21436,,0,https://a4ucontent.blob.core.windows.net/images/0010225_0.png,"Prevail <br/>
Protective Adult Pants <br/>
<span style= ""color: gray""> (L) 10S </span>"
/addproducttocart/22407/3/0/(name),0,Softess Adult Diapers M 10S,,$5.80,/addproducttocart/22407/1/0,22407,,0,https://a4ucontent.blob.core.windows.net/images/0005123_0.png,"Softess <br/>
Adult Diapers - Medium <br/>
<span style= ""color: gray""> 10S </span>"
/addproducttocart/22408/3/0/(name),0,Softess Adult Diapers L 8S,,$5.80,/addproducttocart/22408/1/0,22408,,0,https://a4ucontent.blob.core.windows.net/images/0005126_0.png,"Softess<br/>
Adult Diapers<br/>
Large<br/>
<span style=""color:grey;"">8s</span>"
/addproducttocart/119788/3/0/(name),0,Tena Value M 12S (New),,$10.10,/addproducttocart/119788/1/0,119788,,0,https://a4ucontent.blob.core.windows.net/images/0039061_0.png,"Tena Pants <br/> 
<span style= ""color: gray""> (M) 12S </span>"
/addproducttocart/875/3/0/(name),0,Tena Value L 10S (New),,$10.10,/addproducttocart/875/1/0,875,,0,https://a4ucontent.blob.core.windows.net/images/0039055_0.png,"Tena Pants<br/>
Large<br/>
<span style=""color:grey;"">10s</span>"
/addproducttocart/28224/3/0/(name),0,Tena Pants M 14S,$22.85,$21.95,/addproducttocart/28224/1/0,28224,,0,https://a4ucontent.blob.core.windows.net/images/0015061_0.png,"Tena Pants <br/> 
<small><span style= ""color: gray""> M 14S </span></small> "
/addproducttocart/28225/3/0/(name),0,Tena Pants L 14S,$26.90,$25.95,/addproducttocart/28225/1/0,28225,,0,https://a4ucontent.blob.core.windows.net/images/0015062_0.png,"Tena Pants <br/> 
<span style= ""color: gray""> (L) 14S </span>"
/addproducttocart/743/3/0/(name),0,Dr.P Special Diaper M 10S,,$5.80,/addproducttocart/743/1/0,743,,0,https://a4ucontent.blob.core.windows.net/images/0010223_0.png,"Dr.P<br/>
Special Diaper<br/>
M size<br/>
<span style=""color:grey;"">10s</span>"
/addproducttocart/744/3/0/(name),0,Dr.P Special Diaper L 8S,,$5.80,/addproducttocart/744/1/0,744,,0,https://a4ucontent.blob.core.windows.net/images/0011261_0.png,"Dr.P<br/>
Special Diaper<br/>
L size<br/>
<span style=""color:grey;"">8s</span>"
/addproducttocart/21064/3/0/(name),0,Lifree Powerful Thin Pants M 10S,,$13.95,/addproducttocart/21064/1/0,21064,,0,https://a4ucontent.blob.core.windows.net/images/0045575_0.png,"Lifree <br/>
Powerful Thin Pants <br/>
<span style=""color:gray""> (M) 10S </span>"
/addproducttocart/21066/3/0/(name),0,Lifree Powerful Thin Pants XL 9S,,$13.95,/addproducttocart/21066/1/0,21066,,0,https://a4ucontent.blob.core.windows.net/images/0052748_0.png,"Lifree<br/>
Poweful Thin Pants<br/>
<span style =""color:gery> =""color:grey""> (XL) 9S</span>"
/addproducttocart/86597/3/0/(name),0,Pureen Brush W/Sponge Tip NBY06,,$3.50,/addproducttocart/86597/1/0,86597,,0,https://a4ucontent.blob.core.windows.net/images/0043507_0.png,"Pureen  <br/>
Brush With Sponge Bottle Cleaning Brush  <br/> 
<span style= ""color: gray""> 1S </span>"
/addproducttocart/86649/3/0/(name),0,Pureen W/Filled Teether-O WFT025,,$3.35,/addproducttocart/86649/1/0,86649,,0,https://a4ucontent.blob.core.windows.net/images/0043509_0.png,"Pureen  <br/>
Chewy Silicon Teether <br/> 
<span style= ""color: gray""> 1S </span>"
/addproducttocart/84816/3/0/(name),0,Emmi Yoghurt Blueberry 100G,,$1.10,/addproducttocart/84816/1/0,84816,,0,https://a4ucontent.blob.core.windows.net/images/0048254_0.png,"Emmi <br/>
Blueberry Yoghurt <br/>
<span style= ""color: gray""> 100G </span>"
/addproducttocart/84814/3/0/(name),0,Emmi Yoghurt Straw 100G,,$1.10,/addproducttocart/84814/1/0,84814,,0,https://a4ucontent.blob.core.windows.net/images/0048253_0.png,"Emmi <br/>
Strawberry Yoghurt <br/>
<span style= ""color: gray"">100G</span>"
